Economy_Label,2005_Metric_tons_in_thousands_Value,2005_Metric_tons_MissingValue,2006_Metric_tons_in_thousands_Value,2006_Metric_tons_MissingValue,2007_Metric_tons_in_thousands_Value,2007_Metric_tons_MissingValue,2008_Metric_tons_in_thousands_Value,2008_Metric_tons_MissingValue,2009_Metric_tons_in_thousands_Value,2009_Metric_tons_MissingValue,2010_Metric_tons_in_thousands_Value,2010_Metric_tons_MissingValue,2011_Metric_tons_in_thousands_Value,2011_Metric_tons_MissingValue,2012_Metric_tons_in_thousands_Value,2012_Metric_tons_MissingValue,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_MissingValue
"Cameroon",,,,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,
"Canada",215,,223,,204,,234,,193,,195,,204,,209,,173,,195,,214,,220,,203,,163,,147,,152,,173,,185,,203,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,
"Central African Republic",,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
"Chile",4,,6,,7,,8,,10,,14,,15,,13,,12,,15,,14,,15,,16,,10,,11,,10,,10,,10,,8,
"China",45,,99,,30,,24,,34,,26,,26,,34,,42,,43,,31,,166,,30,,41,,52,,14,,45,,54,,85,
"China, Hong Kong SAR",3178,,3776,,3895,,4186,,4135,,4222,,3457,,3243,,1493,,3044,,2826,,2819,,1791,,288,,232,,112,,28,,18,,10,
"China, Macao SAR",1,,5,,,,,,3,,,,2,,2,,1,,1,,1,,,,0,,0,,0,,0,,1,,,,,
"China, Taiwan Province of",181,,206,,189,,165,,178,,199,,180,,169,,134,,164,,164,,173,,152,,74,,59,,50,,65,,132,,143,
"Colombia",3,,3,,3,,4,,3,,7,,7,,7,,3,,4,,5,,3,,3,,3,,5,,4,,6,,6,,5,
"Congo",,,,,0,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Costa Rica",4,,5,,6,,6,,3,,6,,9,,11,,10,,13,,10,,13,,10,,8,,23,,9,,8,,5,,6,
"Cote d'Ivoire",0,,0,,0,,0,,0,,0,,2,,2,,2,,0,,2,,2,,1,,1,,1,,0,,1,,1,,1,
"Croatia",4,,7,,13,,12,,8,,9,,10,,12,,12,,16,,17,,20,,12,,25,,38,,34,,33,,37,,44,
"Cuba",0,,0,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,
"Curacao",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cyprus",1,,0,,1,,1,,1,,3,,6,,6,,6,,8,,10,,14,,10,,9,,0,,10,,9,,8,,11,
"Czechia",24,,24,,33,,45,,75,,86,,103,,116,,131,,126,,129,,128,,116,,117,,97,,90,,82,,95,,56,
"Dem. Rep. of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,
"Denmark",44,,42,,47,,248,,132,,494,,80,,85,,68,,82,,74,,60,,34,,55,,61,,34,,4,,46,,35,
"Djibouti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,2,
"Dominica",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominican Republic",2,,5,,7,,8,,8,,15,,21,,24,,23,,29,,26,,3,,3,,17,,15,,15,,25,,23,,25,
"Ecuador",2,,5,,8,,9,,9,,10,,15,,25,,30,,35,,34,,18,,17,,6,,3,,4,,6,,4,,0,
"Egypt",11,,12,,14,,8,,21,,22,,16,,18,,9,,2,,1,,4,,3,,1,,1,,2,,0,,1,,0,
"El Salvador",5,,7,,7,,54,,8,,11,,14,,14,,16,,15,,14,,11,,12,,12,,13,,9,,11,,12,,10,
"Estonia",5,,7,,13,,13,,21,,15,,14,,39,,16,,18,,16,,17,,14,,14,,17,,16,,17,,20,,16,
"Eswatini",1,,1,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,2,,1,,1,,1,,1,,1,
"Ethiopia",,,0,,1,,0,,,,0,,0,,0,,1,,3,,4,,3,,5,,4,,5,,5,,8,,8,,4,
"Faroe Islands",,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiji",0,,0,,0,,0,,0,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,0,,1,,0,,1,
"Finland",25,,28,,31,,27,,38,,32,,35,,32,,30,,34,,31,,29,,13,,21,,0,,29,,26,,18,,4,
"France",426,,397,,400,,403,,458,,488,,512,,517,,462,,493,,480,,494,,231,,447,,381,,339,,347,,351,,253,
"French Polynesia",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,1,,0,,,
"Gabon",,,,,0,,,,,,0,,0,,,,,,,,,,0,,0,,,,0,,0,,0,,0,,0,
"Gambia",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
"Georgia",,,,,0,,,,,,0,,0,,1,,2,,1,,1,,1,,1,,1,,1,,1,,2,,0,,0,
"Germany",625,,785,,880,,1244,,1498,,1514,,1504,,1528,,1341,,1469,,1394,,1475,,1238,,1068,,1106,,668,,834,,506,,696,
"Ghana",0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,,0,,,,5,,0,,4,
"Greece",6,,7,,12,,14,,41,,51,,47,,39,,30,,35,,38,,43,,53,,53,,53,,53,,59,,21,,16,
"Greenland",,,,,,,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
"Grenada",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,,0,,,,,
"Guatemala",5,,5,,8,,6,,4,,7,,8,,12,,13,,15,,18,,17,,13,,10,,8,,5,,14,,7,,8,
"Guinea",,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"Guyana",,,,,0,,0,,,,2,,1,,0,,,,,,,,0,,0,,,,,,0,,,,,,0,
"Honduras",2,,2,,3,,,,2,,3,,2,,12,,,,17,,2,,2,,5,,4,,1,,12,,1,,,,19,
"Hungary",4,,7,,8,,11,,11,,16,,28,,25,,19,,20,,20,,23,,30,,29,,27,,29,,39,,42,,25,
"Iceland",2,,2,,4,,4,,5,,4,,4,,4,,4,,4,,6,,6,,5,,9,,8,,11,,3,,5,,7,
"India",14,,21,,27,,23,,28,,51,,47,,46,,34,,19,,11,,7,,6,,6,,6,,5,,7,,8,,6,
"Indonesia",36,,47,,70,,60,,59,,122,,173,,214,,240,,201,,156,,211,,202,,108,,78,,47,,47,,37,,45,
"Iran (Islamic Republic of)",7,,12,,,,,,,,13,,13,,,,3,,4,,7,,6,,7,,22,,2,,0,,0,,1,,,
"Iraq",,,,,,,,,,,,,98,,7,,35,,3,,1,,1,,,,,,,,,,,,,,,
"Ireland",10,,14,,26,,28,,37,,41,,38,,18,,16,,20,,18,,21,,0,,13,,18,,26,,50,,1,,50,
"Israel",4,,5,,7,,12,,7,,13,,20,,11,,9,,10,,11,,13,,19,,16,,18,,23,,22,,34,,12,
"Italy",50,,110,,51,,71,,219,,274,,280,,238,,200,,184,,165,,187,,267,,210,,216,,49,,210,,228,,208,
"Jamaica",0,,0,,0,,0,,0,,0,,0,,0,,1,,2,,2,,3,,2,,4,,11,,9,,13,,18,,17,
"Japan",1088,,1322,,1543,,1539,,1506,,1662,,1657,,1695,,1703,,1692,,1629,,1551,,1456,,1026,,920,,837,,520,,578,,622,
"Jordan",1,,4,,4,,5,,1,,5,,3,,3,,3,,5,,5,,4,,3,,3,,3,,0,,1,,2,,0,
"Kazakhstan",10,,6,,3,,3,,3,,1,,5,,1,,4,,1,,1,,2,,5,,6,,8,,6,,7,,8,,8,
"Kenya",0,,1,,1,,2,,2,,3,,,,,,8,,,,10,,7,,7,,5,,6,,4,,8,,8,,6,
"Kiribati",0,,,,0,,0,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,
"Kuwait",,,7,,6,,11,,10,,12,,14,,,,13,,10,,8,,11,,8,,15,,9,,2,,,,5,,9,
"Kyrgyzstan",0,,0,,1,,2,,1,,1,,2,,2,,2,,3,,2,,0,,1,,1,,2,,2,,3,,3,,2,
"Lao People's Dem. Rep.",,,,,,,,,,,0,,1,,1,,0,,1,,1,,2,,1,,1,,2,,3,,3,,4,,3,
"Latvia",4,,4,,5,,3,,6,,7,,10,,10,,7,,12,,11,,13,,13,,12,,16,,18,,15,,21,,20,
"Lebanon",2,,3,,2,,1,,2,,4,,3,,4,,5,,4,,3,,3,,6,,7,,9,,6,,9,,16,,13,
"Lesotho",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Liberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
"Libya",,,,,0,,0,,,,0,,,,,,,,,,,,4,,4,,3,,3,,,,,,,,,
"Lithuania",7,,10,,4,,16,,12,,11,,13,,18,,19,,24,,28,,28,,33,,34,,34,,29,,39,,34,,22,
"Luxembourg",12,,11,,12,,7,,7,,8,,8,,9,,13,,14,,18,,15,,15,,11,,11,,11,,11,,10,,9,
"Madagascar",0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,
"Malawi",0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
"Malaysia",105,,98,,108,,117,,127,,137,,157,,202,,254,,253,,187,,170,,169,,25,,51,,23,,25,,31,,8,
"Maldives",0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,
"Mali",,,0,,0,,0,,,,0,,0,,1,,,,,,,,1,,1,,2,,3,,,,,,,,,
"Malta",2,,2,,1,,1,,2,,1,,2,,4,,4,,5,,4,,6,,5,,4,,2,,1,,3,,1,,3,
"Mauritania",,,,,,,,,,,,,,,,,,,,,,,0,,1,,2,,1,,4,,7,,11,,7,
"Mauritius",1,,0,,0,,0,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,2,,0,,2,,1,
"Mexico",316,,361,,430,,447,,381,,425,,453,,532,,528,,863,,468,,469,,425,,359,,298,,253,,185,,153,,121,
"Mongolia",4,,6,,5,,,,,,,,,,,,7,,7,,7,,6,,5,,0,,1,,,,,,1,,,
"Montenegro",,"Not applicable",,"Not applicable",,"Not applicable",0,,0,,0,,0,,1,,1,,1,,0,,1,,1,,0,,0,,0,,1,,1,,1,
"Montserrat",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"Morocco",5,,6,,8,,6,,5,,8,,15,,17,,19,,23,,24,,18,,11,,8,,6,,3,,16,,19,,19,
"Mozambique",0,,,,,,0,,0,,0,,0,,0,,0,,1,,0,,0,,2,,1,,3,,2,,2,,3,,3,
"Myanmar",,,,,,,,,,,,,24,,,,3,,0,,0,,2,,24,,11,,6,,7,,3,,5,,9,
"Namibia",1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,1,,2,,0,,3,,2,,3,,3,,2,
"Nepal",,,,,,,,,0,,0,,0,,0,,0,,1,,1,,1,,0,,1,,0,,0,,,,0,,,
"Netherlands (Kingdom of the)",361,,440,,419,,362,,249,,365,,381,,431,,470,,243,,511,,496,,388,,345,,390,,417,,623,,579,,534,
"Netherlands Antilles",,,0,,,,,,,,,,,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"New Caledonia",,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
"New Zealand",24,,30,,33,,38,,41,,39,,45,,44,,43,,48,,47,,51,,42,,37,,38,,23,,20,,21,,28,
"Nicaragua",1,,3,,5,,7,,4,,5,,6,,9,,11,,14,,13,,12,,11,,11,,12,,12,,12,,11,,9,
"Niger",0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,,,0,,,,,,0,,0,,0,
"Nigeria",,,,,,,,,0,,0,,0,,,,4,,1,,1,,0,,0,,2,,2,,75,,43,,17,,4,
"North Macedonia",1,,1,,3,,2,,2,,1,,3,,6,,6,,6,,6,,6,,6,,6,,8,,4,,3,,5,,3,
"Norway",26,,27,,47,,45,,29,,33,,41,,51,,57,,60,,26,,57,,60,,57,,65,,67,,77,,69,,69,
"Oman",0,,0,,1,,2,,3,,4,,4,,2,,3,,4,,4,,4,,3,,2,,1,,2,,2,,0,,0,
"Pakistan",5,,6,,22,,22,,27,,35,,47,,31,,45,,42,,30,,20,,40,,18,,7,,4,,5,,7,,19,
"Palau",,,,,,,,,,,,,,,0,,,,0,,0,,0,,0,,0,,,,,,,,,,,
"Panama",4,,5,,7,,4,,3,,4,,4,,5,,6,,6,,5,,6,,7,,5,,2,,3,,7,,4,,6,
"Papua New Guinea",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,
"Paraguay",7,,9,,11,,9,,5,,4,,3,,3,,3,,0,,1,,1,,2,,2,,1,,1,,1,,1,,0,
"Peru",0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,0,
"Philippines",81,,99,,99,,114,,80,,132,,153,,124,,55,,139,,118,,136,,80,,65,,133,,75,,105,,92,,107,
"Poland",42,,55,,61,,52,,103,,111,,107,,105,,102,,142,,170,,195,,169,,162,,169,,150,,155,,178,,138,
"Portugal",16,,23,,27,,39,,49,,64,,61,,66,,62,,65,,63,,76,,57,,53,,56,,55,,69,,68,,61,
"Qatar",0,,0,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Republic of Korea",237,,301,,328,,288,,310,,205,,165,,185,,185,,123,,188,,211,,201,,1,,20,,0,,0,,21,,30,
"Republic of Moldova",0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,
"Romania",20,,19,,15,,18,,33,,33,,32,,39,,34,,33,,29,,28,,33,,22,,36,,7,,36,,41,,13,
"Russian Federation",5,,7,,11,,15,,20,,18,,13,,16,,11,,12,,12,,12,,14,,26,,25,,27,,37,,,,,
"Rwanda",,,,,,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,1,,2,,2,,1,,,
"Saint Kitts and Nevis",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Lucia",0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,
"Saint Vincent and the Grenadines",,,,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Samoa",0,,,,,,,,0,,0,,0,,,,0,,,,,,,,,,0,,0,,,,,,,,0,
"Sao Tome and Principe",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Saudi Arabia",24,,19,,22,,33,,59,,85,,95,,105,,90,,69,,72,,88,,81,,48,,40,,24,,32,,0,,65,
"Senegal",,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,2,,2,,2,,4,,5,,3,,3,,1,
"Serbia",,"Not applicable",,"Not applicable",,"Not applicable",2,,3,,5,,6,,13,,16,,16,,11,,15,,9,,12,,6,,8,,5,,3,,4,
"Serbia and Montenegro",,,3,,2,,,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"Sierra Leone",,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,
"Singapore",40,,43,,56,,56,,52,,55,,62,,70,,92,,81,,62,,61,,56,,44,,18,,35,,32,,35,,20,
"Slovakia",10,,13,,92,,13,,25,,8,,8,,13,,43,,42,,49,,18,,15,,38,,3,,13,,33,,29,,34,
"Slovenia",10,,15,,17,,26,,30,,38,,31,,72,,75,,100,,106,,109,,110,,5,,136,,183,,133,,122,,79,
"South Africa",15,,8,,9,,6,,6,,10,,13,,15,,19,,31,,15,,4,,21,,12,,3,,3,,2,,3,,2,
"Spain",93,,97,,114,,42,,170,,221,,6,,246,,62,,361,,234,,321,,203,,109,,8,,54,,5,,6,,88,
"Sri Lanka",0,,0,,1,,1,,1,,1,,1,,2,,2,,3,,1,,2,,1,,,,1,,1,,0,,0,,1,
"State of Palestine",,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,,,
"Sudan",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",2,,4,,8,,9,,8,,13,,11,,,,,,,,,,,
"Sudan (...2011)",,,,,,,,,0,,0,,0,,,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable",,"Not applicable"
"Suriname",,,,,,,,,0,,0,,0,,0,,0,,1,,,,,,1,,,,,,,,1,,1,,,
"Sweden",42,,54,,68,,70,,92,,91,,114,,110,,113,,100,,87,,97,,83,,80,,91,,112,,132,,114,,114,
"Switzerland",31,,13,,38,,100,,33,,96,,104,,91,,122,,99,,5,,100,,92,,70,,4,,28,,65,,88,,88,
"Syrian Arab Republic",2,,3,,6,,13,,10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tajikistan",,,,,,,,,,,,,,,,,,,,,,,1,,2,,2,,3,,3,,5,,6,,7,
"Thailand",137,,149,,193,,151,,174,,213,,241,,272,,324,,355,,273,,59,,307,,194,,7,,11,,21,,73,,11,
"Timor-Leste",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,
"Togo",0,,,,0,,2,,1,,1,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,
"Trinidad and Tobago",3,,2,,0,,0,,0,,1,,1,,2,,1,,1,,1,,2,,2,,2,,1,,1,,0,,0,,1,
"Tunisia",4,,7,,11,,8,,9,,12,,15,,18,,31,,40,,31,,29,,30,,24,,25,,26,,38,,39,,43,
"Turkiye",12,,16,,15,,22,,19,,29,,36,,33,,39,,33,,32,,32,,27,,28,,26,,28,,27,,31,,21,
"Uganda",0,,0,,0,,2,,2,,2,,2,,3,,5,,6,,5,,5,,6,,5,,5,,5,,9,,13,,17,
"Ukraine",7,,9,,8,,5,,4,,5,,6,,3,,3,,2,,1,,1,,1,,1,,1,,2,,4,,2,,1,
"United Arab Emirates",26,,,,38,,32,,,,,,,,28,,29,,33,,30,,29,,19,,14,,14,,5,,1,,6,,3,
"United Kingdom",347,,458,,563,,667,,722,,851,,892,,826,,661,,775,,798,,814,,560,,84,,61,,44,,13,,43,,24,
"United Republic of Tanzania",2,,2,,2,,3,,5,,4,,9,,14,,16,,20,,19,,14,,14,,11,,18,,14,,17,,20,,24,
"United States",1180,,1101,,1426,,1647,,2071,,2091,,2183,,2080,,1963,,2207,,2078,,59,,1700,,1114,,611,,362,,68,,226,,297,
"Uruguay",5,,6,,6,,4,,1,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,
"Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,1,,0,
"Venezuela (Bolivarian Rep. of)",4,,1,,,,8,,7,,10,,6,,,,6,,,,,,,,,,,,,,,,,,,,,
"Viet Nam",16,,19,,19,,19,,19,,40,,102,,,"No value reported or collected",224,,202,,120,,277,,303,,199,,57,,39,,30,,37,,51,
"Yemen",1,,3,,7,,15,,23,,29,,47,,36,,40,,7,,15,,,,,,1,,,,,,,,,,,
"Zambia",,,0,,0,,0,,0,,0,,0,,0,,19,,0,,1,,2,,1,,1,,2,,2,,2,,3,,1,
"Zimbabwe",0,,0,,0,,0,,,,0,,0,,0,,0,,1,,1,,1,,1,,3,,2,,0,,1,,1,,1,
"Asia and Oceania",5385,,6421,,6853,,7100,,7141,,7548,,7072,,6812,,5366,,6813,,6318,,6356,,5219,,2444,,1876,,1511,,1138,,1354,,1417,
"Northern America and Europe",4139,,4550,,5200,,5998,,7002,,7681,,7334,,7630,,6921,,7575,,7262,,5673,,6316,,5054,,4500,,3557,,3984,,3805,,3605,
"Europe, Northern America, Australia and New Zealand",4251,,4681,,5337,,6161,,7247,,7877,,7531,,7868,,7119,,7809,,7516,,5923,,6503,,5213,,4575,,3680,,4057,,3900,,3699,
"Central and Southern Asia",49,,58,,70,,69,,82,,138,,140,,120,,127,,73,,93,,41,,63,,56,,30,,22,,28,,35,,43,
